# Variables,,,,,
"# Data variables follow that are preceded by ""##"" in columns one and two.",,,,,
"# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)",,,,,
#,,,,,
"## age_AD age, , , years AD, , , , ,N",,,,,
"## nao_mc_mean model-constrained multi-proxy ensemble NAO mean ,,,standardised units,winter (DJF),Climate Reconstructions,ensemble of 100 model-constrained NAO reconstructions,,N",,,,,
"## nao_mc_min model-constrained multi-proxy ensemble NAO minimum,,,standardised units,winter (DJF),Climate Reconstructions,ensemble spread,,N",,,,,
"## nao_mc_max model-constrained multi-proxy ensemble NAO maximum,,,standardised units,winter (DJF),Climate Reconstructions,ensemble spread,,N",,,,,
"## nao_mc_mean-2SE regression uncertainty as departure from the ensemble mean of -2 standard errors ,,2 standard errors of the regression,standardised units,winter (DJF),Climate Reconstructions,regression errors,,N",,,,,
"## nao_mc_mean+2SE regression uncertainty as departure from the ensemble mean of 2 standard errors ,,2 standard errors of the regression,standardised units,winter (DJF),Climate Reconstructions,regression errors,,N",,,,,
#,,,,,
#------------------------,,,,,
Year,nao_mc_mean,nao_mc_min,nao_mc_max,nao_mc_mean-2SE,nao_mc_mean+2SE
1745,-0.183,-0.719,0.219,-2.926,2.426
1744,0.601,-0.122,1.002,-2.328,3.209
1743,0.062,-0.739,0.669,-2.945,2.875
1742,0.127,-0.797,0.649,-3.004,2.855
1741,0.353,-0.854,1.012,-3.061,3.219
1740,-0.62,-1.612,-0.02,-3.818,2.186
1739,-0.137,-0.84,0.61,-3.046,2.817
1738,1.057,0.57,1.511,-1.637,3.717
1737,0.83,0.377,1.365,-1.829,3.572
1736,-0.286,-0.591,-0.115,-2.797,2.092
1735,0.796,0.427,1.201,-1.78,3.408
1734,0.559,0.105,0.815,-2.101,3.022
1733,-0.309,-0.679,-0.077,-2.885,2.129
1732,-0.967,-1.456,-0.625,-3.663,1.582
1731,-1.106,-1.788,-0.673,-3.995,1.533
1730,-1.19,-1.899,-0.745,-4.106,1.461
1729,-0.76,-1.289,-0.464,-3.496,1.742
1728,-0.492,-1.041,-0.116,-3.247,2.09
1727,-0.71,-1.23,-0.323,-3.436,1.883
1726,-0.743,-1.317,-0.281,-3.523,1.926
1725,-0.361,-0.921,-0.032,-3.127,2.174
1724,-0.18,-0.659,0.202,-2.865,2.408
1723,0.481,-0.193,1.213,-2.399,3.419
1722,-0.261,-0.887,0.376,-3.094,2.583
1721,0.913,0.189,1.522,-2.017,3.728
1720,-0.179,-0.67,0.133,-2.876,2.339
1719,-0.5,-1.011,-0.121,-3.218,2.086
1718,-0.201,-0.75,0.884,-2.957,3.091
1717,-0.975,-1.526,-0.571,-3.732,1.636
1716,-0.676,-1.338,-0.288,-3.544,1.919
1715,-0.381,-1.057,-0.03,-3.264,2.176
1714,0.264,-0.483,0.713,-2.69,2.92
1713,0.412,-0.353,0.837,-2.559,3.044
1712,-0.419,-0.987,0.052,-3.193,2.258
1711,-0.233,-0.798,0.192,-3.005,2.399
1710,-1.162,-1.681,-0.824,-3.887,1.382
1709,-0.01,-0.573,0.321,-2.779,2.528
1708,-0.056,-0.448,0.24,-2.654,2.446
1707,0.178,-0.232,0.503,-2.438,2.71
1706,0.291,-0.135,0.7,-2.342,2.907
1705,0.786,0.367,1.132,-1.839,3.338
1704,0.106,-0.651,0.53,-2.857,2.736
1703,0.203,-0.127,0.586,-2.334,2.792
1702,-0.616,-0.865,-0.169,-3.072,2.037
1701,0.421,0.038,0.965,-2.168,3.172
1700,0.299,-0.401,0.765,-2.607,2.971
1699,0.859,-0.15,1.425,-2.356,3.632
1698,-0.048,-0.948,0.414,-3.154,2.62
1697,0.339,-0.678,0.936,-2.884,3.143
1696,0.216,-0.699,0.783,-2.905,2.99
1695,-0.137,-0.851,0.257,-3.057,2.463
1694,0.765,0.064,1.145,-2.142,3.351
1693,0.425,-0.094,0.766,-2.3,2.972
1692,-1.215,-1.996,-0.756,-4.203,1.451
1691,-0.042,-0.584,0.279,-2.79,2.485
1690,0.046,-0.6,0.528,-2.806,2.734
1689,0.703,0.095,1.059,-2.111,3.265
1688,-0.191,-0.708,0.125,-2.914,2.331
1687,-0.561,-1.154,-0.143,-3.36,2.063
1686,0.371,-0.448,0.983,-2.655,3.189
1685,-0.322,-0.773,0.059,-2.979,2.266
1684,-2.11,-2.854,-1.543,-5.06,0.663
1683,-0.125,-0.753,0.346,-2.96,2.552
1682,0.75,0.277,1.001,-1.929,3.208
1681,-0.19,-0.601,0.199,-2.807,2.405
1680,0.24,-0.129,1.141,-2.335,3.347
1679,-0.608,-1.053,-0.29,-3.259,1.916
1678,-0.373,-0.996,0.013,-3.202,2.219
1677,0.368,-0.23,0.852,-2.436,3.058
1676,0.44,-0.271,0.772,-2.477,2.979
1675,-0.768,-1.517,-0.304,-3.723,1.902
1674,-1.393,-2.077,-1.012,-4.283,1.194
1673,-0.255,-0.856,0.113,-3.062,2.319
1672,-0.036,-0.604,0.297,-2.81,2.503
1671,0.344,-0.186,0.683,-2.392,2.89
1670,-0.456,-0.968,-0.089,-3.174,2.117
1669,-0.028,-0.49,0.284,-2.696,2.49
1668,0.634,-0.216,0.964,-2.422,3.17
1667,-1.864,-2.287,-1.454,-4.493,0.753
1666,-0.916,-1.165,-0.613,-3.371,1.593
1665,-0.949,-1.156,-0.752,-3.363,1.455
1664,-0.646,-0.912,-0.455,-3.118,1.751
1663,-0.63,-1.04,-0.338,-3.246,1.868
1662,0.464,0.027,0.845,-2.18,3.051
1661,0.521,0.098,0.79,-2.109,2.996
1660,-0.33,-0.792,0.13,-2.999,2.336
1659,0.743,0.24,1.052,-1.966,3.258
1658,0.298,-0.189,0.652,-2.395,2.859
1657,-0.535,-1.141,-0.168,-3.348,2.038
1656,0.623,0.158,0.929,-2.049,3.135
1655,-0.123,-0.355,0.144,-2.561,2.35
1654,0.371,-0.079,0.707,-2.285,2.913
1653,0.307,0.017,0.909,-2.189,3.115
1652,-0.385,-0.691,-0.002,-2.897,2.205
1651,0.356,0.073,0.741,-2.133,2.947
1650,0.182,-0.178,0.682,-2.384,2.888
1649,-0.175,-0.573,0.127,-2.78,2.333
1648,1.164,0.834,1.443,-1.373,3.65
1647,1.059,0.519,1.407,-1.687,3.613
1646,0.609,0.185,0.911,-2.021,3.118
1645,1.482,1.163,1.713,-1.043,3.92
1644,1.794,1.577,2.296,-0.629,4.503
1643,1.73,1.019,2.116,-1.187,4.322
1642,2.207,1.423,2.648,-0.783,4.854
1641,0.818,0.189,1.222,-2.017,3.428
1640,1.3,0.617,1.783,-1.589,3.989
1639,0.871,0.245,1.368,-1.961,3.574
1638,1.97,1.405,2.346,-0.801,4.552
1637,1.356,1.11,1.518,-1.096,3.725
1636,1.314,1.041,1.539,-1.165,3.745
1635,0.244,-0.112,0.5,-2.318,2.706
1634,1.018,0.654,1.482,-1.553,3.688
1633,0.498,0.045,0.775,-2.162,2.981
1632,0.095,-0.264,0.432,-2.471,2.638
1631,0.412,0.053,0.659,-2.154,2.866
1630,-0.59,-1.021,-0.195,-3.228,2.012
1629,0.377,0.228,0.557,-1.978,2.764
1628,0.202,-0.06,0.582,-2.266,2.788
1627,0.387,-0.017,1.033,-2.223,3.24
1626,-0.355,-0.692,0.185,-2.898,2.392
1625,-0.695,-1.138,0.178,-3.345,2.385
1624,-0.876,-1.217,-0.503,-3.424,1.704
1623,-0.225,-0.508,-0.035,-2.714,2.171
1622,-1.063,-1.418,-0.663,-3.625,1.544
1621,-0.853,-1.272,-0.449,-3.478,1.757
1620,-0.976,-1.292,-0.667,-3.499,1.54
1619,-1.399,-1.698,-0.727,-3.905,1.479
1618,-1.808,-2.146,-1.009,-4.353,1.197
1617,-1.752,-2.068,-1.469,-4.274,0.737
1616,-1.435,-1.782,-0.933,-3.988,1.274
1615,-1.544,-1.884,-1.276,-4.09,0.93
1614,-1.164,-1.516,-0.876,-3.723,1.33
1613,-1.468,-1.843,-1.142,-4.049,1.064
1612,-1.438,-1.951,-0.849,-4.158,1.357
1611,-1.495,-1.975,-1.067,-4.182,1.139
1610,-1.278,-1.886,-0.185,-4.093,2.021
1609,-0.787,-1.279,-0.48,-3.485,1.726
1608,-1.098,-1.657,-0.613,-3.863,1.594
1607,-0.936,-1.462,-0.283,-3.669,1.924
1606,-1.396,-1.69,-1.065,-3.897,1.141
1605,-0.114,-0.451,0.761,-2.658,2.967
